,market_condition,total_peTTM,total_volume,num_of_days,avg_volume,avg_peTTM
0,波动市,115985.85746600004,101129473.64000009,3723,27163.436379264058,31.15386985388129
1,牛市,25615.074711000005,32385866.93000001,733,44182.62882673944,34.945531665757166
2,熊市,19147.190100000007,25305656.719999988,575,44009.83777391302,33.299461043478274
